"COUNTRY","INDICATOR","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Ireland","Unemployment rate","Annual","1998","7.55","Units"
"Ireland","Unemployment rate","Annual","1999","5.917","Units"
"Ireland","Unemployment rate","Annual","2000","4.383","Units"
"Ireland","Unemployment rate","Annual","2001","4.183","Units"
"Ireland","Unemployment rate","Annual","2002","4.733","Units"
"Ireland","Unemployment rate","Annual","2003","4.85","Units"
"Ireland","Unemployment rate","Annual","2004","4.75","Units"
"Ireland","Unemployment rate","Annual","2005","4.633","Units"
"Ireland","Unemployment rate","Annual","2006","4.767","Units"
"Ireland","Unemployment rate","Annual","2007","5.008","Units"
"Ireland","Unemployment rate","Annual","2008","6.8","Units"
"Ireland","Unemployment rate","Annual","2009","12.65","Units"
"Ireland","Unemployment rate","Annual","2010","14.608","Units"
"Ireland","Unemployment rate","Annual","2011","15.4","Units"
"Ireland","Unemployment rate","Annual","2012","15.492","Units"
"Ireland","Unemployment rate","Annual","2013","13.775","Units"
"Ireland","Unemployment rate","Annual","2014","11.892","Units"
"Ireland","Unemployment rate","Annual","2015","9.925","Units"
"Ireland","Unemployment rate","Annual","2016","8.375","Units"
"Ireland","Unemployment rate","Annual","2017","6.758","Units"
"Ireland","Unemployment rate","Annual","2018","5.808","Units"
"Ireland","Unemployment rate","Annual","2019","4.992","Units"
"Ireland","Unemployment rate","Annual","2020","5.842","Units"
"Ireland","Unemployment rate","Annual","2021","6.258","Units"
"Ireland","Unemployment rate","Annual","2022","4.467","Units"
"Ireland","Unemployment rate","Annual","2023","4.308","Units"
"Ireland","Unemployment rate","Annual","2024","4.3","Units"
"Ireland","Unemployment rate","Annual","2025","4.542","Units"
"Australia","Unemployment rate","Annual","1980","6.133","Units"
"Australia","Unemployment rate","Annual","1981","5.783","Units"
"Australia","Unemployment rate","Annual","1982","7.183","Units"
"Australia","Unemployment rate","Annual","1983","9.967","Units"
"Australia","Unemployment rate","Annual","1984","8.967","Units"
"Australia","Unemployment rate","Annual","1985","8.258","Units"
"Australia","Unemployment rate","Annual","1986","8.117","Units"
"Australia","Unemployment rate","Annual","1987","8.108","Units"
"Australia","Unemployment rate","Annual","1988","7.2","Units"
"Australia","Unemployment rate","Annual","1989","6.133","Units"
"Australia","Unemployment rate","Annual","1990","6.942","Units"
"Australia","Unemployment rate","Annual","1991","9.608","Units"
"Australia","Unemployment rate","Annual","1992","10.742","Units"
"Australia","Unemployment rate","Annual","1993","10.883","Units"
"Australia","Unemployment rate","Annual","1994","9.717","Units"
"Australia","Unemployment rate","Annual","1995","8.483","Units"
"Australia","Unemployment rate","Annual","1996","8.525","Units"
"Australia","Unemployment rate","Annual","1997","8.367","Units"
"Australia","Unemployment rate","Annual","1998","7.692","Units"
"Australia","Unemployment rate","Annual","1999","6.867","Units"
"Australia","Unemployment rate","Annual","2000","6.292","Units"
"Australia","Unemployment rate","Annual","2001","6.775","Units"
"Australia","Unemployment rate","Annual","2002","6.358","Units"
"Australia","Unemployment rate","Annual","2003","5.942","Units"
"Australia","Unemployment rate","Annual","2004","5.383","Units"
"Australia","Unemployment rate","Annual","2005","5.033","Units"
"Australia","Unemployment rate","Annual","2006","4.792","Units"
"Australia","Unemployment rate","Annual","2007","4.375","Units"
"Australia","Unemployment rate","Annual","2008","4.25","Units"
"Australia","Unemployment rate","Annual","2009","5.575","Units"
"Australia","Unemployment rate","Annual","2010","5.208","Units"
"Australia","Unemployment rate","Annual","2011","5.083","Units"
"Australia","Unemployment rate","Annual","2012","5.233","Units"
"Australia","Unemployment rate","Annual","2013","5.658","Units"
"Australia","Unemployment rate","Annual","2014","6.058","Units"
"Australia","Unemployment rate","Annual","2015","6.058","Units"
"Australia","Unemployment rate","Annual","2016","5.717","Units"
"Australia","Unemployment rate","Annual","2017","5.6","Units"
"Australia","Unemployment rate","Annual","2018","5.283","Units"
"Australia","Unemployment rate","Annual","2019","5.175","Units"
"Australia","Unemployment rate","Annual","2020","6.475","Units"
"Australia","Unemployment rate","Annual","2021","5.125","Units"
"Australia","Unemployment rate","Annual","2022","3.708","Units"
"Australia","Unemployment rate","Annual","2023","3.7","Units"
"Australia","Unemployment rate","Annual","2024","4.025","Units"
"Australia","Unemployment rate","Annual","2025","4.329","Units"
"Belgium","Unemployment rate","Annual","1980","8.3","Units"
"Belgium","Unemployment rate","Annual","1981","10","Units"
"Belgium","Unemployment rate","Annual","1982","11.5","Units"
"Belgium","Unemployment rate","Annual","1983","10.742","Units"
"Belgium","Unemployment rate","Annual","1984","10.825","Units"
"Belgium","Unemployment rate","Annual","1985","10.117","Units"
"Belgium","Unemployment rate","Annual","1986","10.05","Units"
"Belgium","Unemployment rate","Annual","1987","9.808","Units"
"Belgium","Unemployment rate","Annual","1988","8.833","Units"
"Belgium","Unemployment rate","Annual","1989","7.367","Units"
"Belgium","Unemployment rate","Annual","1990","6.558","Units"
"Belgium","Unemployment rate","Annual","1991","6.45","Units"
"Belgium","Unemployment rate","Annual","1992","7.092","Units"
"Belgium","Unemployment rate","Annual","1993","8.625","Units"
"Belgium","Unemployment rate","Annual","1994","9.75","Units"
"Belgium","Unemployment rate","Annual","1995","9.683","Units"
"Belgium","Unemployment rate","Annual","1996","9.55","Units"
"Belgium","Unemployment rate","Annual","1997","9.217","Units"
"Belgium","Unemployment rate","Annual","1998","9.342","Units"
"Belgium","Unemployment rate","Annual","1999","8.425","Units"
"Belgium","Unemployment rate","Annual","2000","6.858","Units"
"Belgium","Unemployment rate","Annual","2001","6.567","Units"
"Belgium","Unemployment rate","Annual","2002","7.525","Units"
"Belgium","Unemployment rate","Annual","2003","8.175","Units"
"Belgium","Unemployment rate","Annual","2004","8.383","Units"
"Belgium","Unemployment rate","Annual","2005","8.475","Units"
"Belgium","Unemployment rate","Annual","2006","8.267","Units"
"Belgium","Unemployment rate","Annual","2007","7.492","Units"
"Belgium","Unemployment rate","Annual","2008","6.967","Units"
"Belgium","Unemployment rate","Annual","2009","7.992","Units"
"Belgium","Unemployment rate","Annual","2010","8.383","Units"
"Belgium","Unemployment rate","Annual","2011","7.225","Units"
"Belgium","Unemployment rate","Annual","2012","7.642","Units"
"Belgium","Unemployment rate","Annual","2013","8.567","Units"
"Belgium","Unemployment rate","Annual","2014","8.667","Units"
"Belgium","Unemployment rate","Annual","2015","8.667","Units"
"Belgium","Unemployment rate","Annual","2016","7.842","Units"
"Belgium","Unemployment rate","Annual","2017","7.108","Units"
"Belgium","Unemployment rate","Annual","2018","5.983","Units"
"Belgium","Unemployment rate","Annual","2019","5.367","Units"
"Belgium","Unemployment rate","Annual","2020","5.567","Units"
"Belgium","Unemployment rate","Annual","2021","6.267","Units"
"Belgium","Unemployment rate","Annual","2022","5.55","Units"
"Belgium","Unemployment rate","Annual","2023","5.517","Units"
"Belgium","Unemployment rate","Annual","2024","5.7","Units"
"Belgium","Unemployment rate","Annual","2025","5.9","Units"
"Canada","Unemployment rate","Annual","1980","7.517","Units"
"Canada","Unemployment rate","Annual","1981","7.617","Units"
"Canada","Unemployment rate","Annual","1982","11.1","Units"
"Canada","Unemployment rate","Annual","1983","12","Units"
"Canada","Unemployment rate","Annual","1984","11.375","Units"
"Canada","Unemployment rate","Annual","1985","10.508","Units"
"Canada","Unemployment rate","Annual","1986","9.608","Units"
"Canada","Unemployment rate","Annual","1987","8.8","Units"
"Canada","Unemployment rate","Annual","1988","7.775","Units"
"Canada","Unemployment rate","Annual","1989","7.508","Units"
"Canada","Unemployment rate","Annual","1990","8.15","Units"
"Canada","Unemployment rate","Annual","1991","10.317","Units"
"Canada","Unemployment rate","Annual","1992","11.217","Units"
"Canada","Unemployment rate","Annual","1993","11.375","Units"
"Canada","Unemployment rate","Annual","1994","10.392","Units"
"Canada","Unemployment rate","Annual","1995","9.467","Units"
"Canada","Unemployment rate","Annual","1996","9.608","Units"
"Canada","Unemployment rate","Annual","1997","9.092","Units"
"Canada","Unemployment rate","Annual","1998","8.292","Units"
"Canada","Unemployment rate","Annual","1999","7.567","Units"
"Canada","Unemployment rate","Annual","2000","6.833","Units"
"Canada","Unemployment rate","Annual","2001","7.225","Units"
"Canada","Unemployment rate","Annual","2002","7.683","Units"
"Canada","Unemployment rate","Annual","2003","7.592","Units"
"Canada","Unemployment rate","Annual","2004","7.15","Units"
"Canada","Unemployment rate","Annual","2005","6.75","Units"
"Canada","Unemployment rate","Annual","2006","6.45","Units"
"Canada","Unemployment rate","Annual","2007","6.158","Units"
"Canada","Unemployment rate","Annual","2008","6.308","Units"
"Canada","Unemployment rate","Annual","2009","8.475","Units"
"Canada","Unemployment rate","Annual","2010","8.158","Units"
"Canada","Unemployment rate","Annual","2011","7.625","Units"
"Canada","Unemployment rate","Annual","2012","7.442","Units"
"Canada","Unemployment rate","Annual","2013","7.208","Units"
"Canada","Unemployment rate","Annual","2014","7.058","Units"
"Canada","Unemployment rate","Annual","2015","7","Units"
"Canada","Unemployment rate","Annual","2016","7.05","Units"
"Canada","Unemployment rate","Annual","2017","6.417","Units"
"Canada","Unemployment rate","Annual","2018","5.833","Units"
"Canada","Unemployment rate","Annual","2019","5.683","Units"
"Canada","Unemployment rate","Annual","2020","9.742","Units"
"Canada","Unemployment rate","Annual","2021","7.483","Units"
"Canada","Unemployment rate","Annual","2022","5.25","Units"
"Canada","Unemployment rate","Annual","2023","5.383","Units"
"Canada","Unemployment rate","Annual","2024","6.375","Units"
"Canada","Unemployment rate","Annual","2025","6.597","Units"
"Denmark","Unemployment rate","Annual","1980","5.177","Units"
"Denmark","Unemployment rate","Annual","1981","6.98","Units"
"Denmark","Unemployment rate","Annual","1982","7.466","Units"
"Denmark","Unemployment rate","Annual","1983","8.375","Units"
"Denmark","Unemployment rate","Annual","1984","7.925","Units"
"Denmark","Unemployment rate","Annual","1985","6.617","Units"
"Denmark","Unemployment rate","Annual","1986","4.983","Units"
"Denmark","Unemployment rate","Annual","1987","5","Units"
"Denmark","Unemployment rate","Annual","1988","5.658","Units"
"Denmark","Unemployment rate","Annual","1989","6.825","Units"
"Denmark","Unemployment rate","Annual","1990","7.167","Units"
"Denmark","Unemployment rate","Annual","1991","7.867","Units"
"Denmark","Unemployment rate","Annual","1992","8.608","Units"
"Denmark","Unemployment rate","Annual","1993","9.533","Units"
"Denmark","Unemployment rate","Annual","1994","7.733","Units"
"Denmark","Unemployment rate","Annual","1995","6.758","Units"
"Denmark","Unemployment rate","Annual","1996","6.317","Units"
"Denmark","Unemployment rate","Annual","1997","5.242","Units"
"Denmark","Unemployment rate","Annual","1998","4.883","Units"
"Denmark","Unemployment rate","Annual","1999","5.108","Units"
"Denmark","Unemployment rate","Annual","2000","4.317","Units"
"Denmark","Unemployment rate","Annual","2001","4.508","Units"
"Denmark","Unemployment rate","Annual","2002","4.642","Units"
"Denmark","Unemployment rate","Annual","2003","5.433","Units"
"Denmark","Unemployment rate","Annual","2004","5.517","Units"
"Denmark","Unemployment rate","Annual","2005","4.8","Units"
"Denmark","Unemployment rate","Annual","2006","3.9","Units"
"Denmark","Unemployment rate","Annual","2007","3.617","Units"
"Denmark","Unemployment rate","Annual","2008","2.65","Units"
"Denmark","Unemployment rate","Annual","2009","4.833","Units"
"Denmark","Unemployment rate","Annual","2010","6.058","Units"
"Denmark","Unemployment rate","Annual","2011","5.95","Units"
"Denmark","Unemployment rate","Annual","2012","6.075","Units"
"Denmark","Unemployment rate","Annual","2013","5.758","Units"
"Denmark","Unemployment rate","Annual","2014","4.992","Units"
"Denmark","Unemployment rate","Annual","2015","4.542","Units"
"Denmark","Unemployment rate","Annual","2016","4.125","Units"
"Denmark","Unemployment rate","Annual","2017","4.2","Units"
"Denmark","Unemployment rate","Annual","2018","3.85","Units"
"Denmark","Unemployment rate","Annual","2019","3.658","Units"
"Denmark","Unemployment rate","Annual","2020","4.658","Units"
"Denmark","Unemployment rate","Annual","2021","3.608","Units"
"Denmark","Unemployment rate","Annual","2022","2.517","Units"
"Denmark","Unemployment rate","Annual","2023","2.767","Units"
"Denmark","Unemployment rate","Annual","2024","2.9","Units"
"Denmark","Unemployment rate","Annual","2025","2.97","Units"
"Finland","Unemployment rate","Annual","1980","5.288","Units"
"Finland","Unemployment rate","Annual","1981","5.743","Units"
"Finland","Unemployment rate","Annual","1982","6.076","Units"
"Finland","Unemployment rate","Annual","1983","6.147","Units"
"Finland","Unemployment rate","Annual","1984","5.928","Units"
"Finland","Unemployment rate","Annual","1985","6.049","Units"
"Finland","Unemployment rate","Annual","1986","6.665","Units"
"Finland","Unemployment rate","Annual","1987","4.9","Units"
"Finland","Unemployment rate","Annual","1988","4.208","Units"
"Finland","Unemployment rate","Annual","1989","3.108","Units"
"Finland","Unemployment rate","Annual","1990","3.2","Units"
"Finland","Unemployment rate","Annual","1991","6.7","Units"
"Finland","Unemployment rate","Annual","1992","11.8","Units"
"Finland","Unemployment rate","Annual","1993","16.5","Units"
"Finland","Unemployment rate","Annual","1994","16.7","Units"
"Finland","Unemployment rate","Annual","1995","15.5","Units"
"Finland","Unemployment rate","Annual","1996","14.6","Units"
"Finland","Unemployment rate","Annual","1997","12.7","Units"
"Finland","Unemployment rate","Annual","1998","11.5","Units"
"Finland","Unemployment rate","Annual","1999","10.275","Units"
"Finland","Unemployment rate","Annual","2000","9.875","Units"
"Finland","Unemployment rate","Annual","2001","9.2","Units"
"Finland","Unemployment rate","Annual","2002","9.175","Units"
"Finland","Unemployment rate","Annual","2003","9.075","Units"
"Finland","Unemployment rate","Annual","2004","8.875","Units"
"Finland","Unemployment rate","Annual","2005","8.475","Units"
"Finland","Unemployment rate","Annual","2006","7.775","Units"
"Finland","Unemployment rate","Annual","2007","6.95","Units"
"Finland","Unemployment rate","Annual","2008","6.425","Units"
"Finland","Unemployment rate","Annual","2009","8.325","Units"
"Finland","Unemployment rate","Annual","2010","8.5","Units"
"Finland","Unemployment rate","Annual","2011","7.9","Units"
"Finland","Unemployment rate","Annual","2012","7.8","Units"
"Finland","Unemployment rate","Annual","2013","8.325","Units"
"Finland","Unemployment rate","Annual","2014","8.825","Units"
"Finland","Unemployment rate","Annual","2015","9.575","Units"
"Finland","Unemployment rate","Annual","2016","8.975","Units"
"Finland","Unemployment rate","Annual","2017","8.825","Units"
"Finland","Unemployment rate","Annual","2018","7.417","Units"
"Finland","Unemployment rate","Annual","2019","6.725","Units"
"Finland","Unemployment rate","Annual","2020","7.767","Units"
"Finland","Unemployment rate","Annual","2021","7.617","Units"
"Finland","Unemployment rate","Annual","2022","6.783","Units"
"Finland","Unemployment rate","Annual","2023","7.208","Units"
"Finland","Unemployment rate","Annual","2024","8.4","Units"
"Finland","Unemployment rate","Annual","2025","8.125","Units"
"France","Unemployment rate","Annual","1980","6.349","Units"
"France","Unemployment rate","Annual","1981","7.438","Units"
"France","Unemployment rate","Annual","1982","8.069","Units"
"France","Unemployment rate","Annual","1983","7.383","Units"
"France","Unemployment rate","Annual","1984","8.458","Units"
"France","Unemployment rate","Annual","1985","8.7","Units"
"France","Unemployment rate","Annual","1986","8.875","Units"
"France","Unemployment rate","Annual","1987","9.15","Units"
"France","Unemployment rate","Annual","1988","8.842","Units"
"France","Unemployment rate","Annual","1989","8.7","Units"
"France","Unemployment rate","Annual","1990","8.4","Units"
"France","Unemployment rate","Annual","1991","8.617","Units"
"France","Unemployment rate","Annual","1992","9.442","Units"
"France","Unemployment rate","Annual","1993","10.267","Units"
"France","Unemployment rate","Annual","1994","10.667","Units"
"France","Unemployment rate","Annual","1995","10.508","Units"
"France","Unemployment rate","Annual","1996","10.833","Units"
"France","Unemployment rate","Annual","1997","10.892","Units"
"France","Unemployment rate","Annual","1998","10.692","Units"
"France","Unemployment rate","Annual","1999","10.442","Units"
"France","Unemployment rate","Annual","2000","9.175","Units"
"France","Unemployment rate","Annual","2001","8.458","Units"
"France","Unemployment rate","Annual","2002","8.275","Units"
"France","Unemployment rate","Annual","2003","8.525","Units"
"France","Unemployment rate","Annual","2004","8.867","Units"
"France","Unemployment rate","Annual","2005","8.875","Units"
"France","Unemployment rate","Annual","2006","8.842","Units"
"France","Unemployment rate","Annual","2007","8.017","Units"
"France","Unemployment rate","Annual","2008","7.433","Units"
"France","Unemployment rate","Annual","2009","9.125","Units"
"France","Unemployment rate","Annual","2010","9.267","Units"
"France","Unemployment rate","Annual","2011","9.208","Units"
"France","Unemployment rate","Annual","2012","9.767","Units"
"France","Unemployment rate","Annual","2013","10.308","Units"
"France","Unemployment rate","Annual","2014","10.267","Units"
"France","Unemployment rate","Annual","2015","10.342","Units"
"France","Unemployment rate","Annual","2016","10.067","Units"
"France","Unemployment rate","Annual","2017","9.408","Units"
"France","Unemployment rate","Annual","2018","9.025","Units"
"France","Unemployment rate","Annual","2019","8.425","Units"
"France","Unemployment rate","Annual","2020","8.025","Units"
"France","Unemployment rate","Annual","2021","7.867","Units"
"France","Unemployment rate","Annual","2022","7.308","Units"
"France","Unemployment rate","Annual","2023","7.342","Units"
"France","Unemployment rate","Annual","2024","7.383","Units"
"France","Unemployment rate","Annual","2025","7.7","Units"
"Germany","Unemployment rate","Annual","1980","3.359","Units"
"Germany","Unemployment rate","Annual","1981","4.831","Units"
"Germany","Unemployment rate","Annual","1982","6.734","Units"
"Germany","Unemployment rate","Annual","1983","8.099","Units"
"Germany","Unemployment rate","Annual","1984","8.058","Units"
"Germany","Unemployment rate","Annual","1985","8.124","Units"
"Germany","Unemployment rate","Annual","1986","7.834","Units"
"Germany","Unemployment rate","Annual","1987","7.843","Units"
"Germany","Unemployment rate","Annual","1988","7.735","Units"
"Germany","Unemployment rate","Annual","1989","6.79","Units"
"Germany","Unemployment rate","Annual","1990","6.155","Units"
"Germany","Unemployment rate","Annual","1991","5.47","Units"
"Germany","Unemployment rate","Annual","1992","6.592","Units"
"Germany","Unemployment rate","Annual","1993","7.775","Units"
"Germany","Unemployment rate","Annual","1994","8.425","Units"
"Germany","Unemployment rate","Annual","1995","8.233","Units"
"Germany","Unemployment rate","Annual","1996","8.908","Units"
"Germany","Unemployment rate","Annual","1997","9.658","Units"
"Germany","Unemployment rate","Annual","1998","9.383","Units"
"Germany","Unemployment rate","Annual","1999","8.558","Units"
"Germany","Unemployment rate","Annual","2000","7.95","Units"
"Germany","Unemployment rate","Annual","2001","7.8","Units"
"Germany","Unemployment rate","Annual","2002","8.6","Units"
"Germany","Unemployment rate","Annual","2003","9.708","Units"
"Germany","Unemployment rate","Annual","2004","10.333","Units"
"Germany","Unemployment rate","Annual","2005","11.008","Units"
"Germany","Unemployment rate","Annual","2006","10.042","Units"
"Germany","Unemployment rate","Annual","2007","8.542","Units"
"Germany","Unemployment rate","Annual","2008","7.425","Units"
"Germany","Unemployment rate","Annual","2009","7.225","Units"
"Germany","Unemployment rate","Annual","2010","6.575","Units"
"Germany","Unemployment rate","Annual","2011","5.517","Units"
"Germany","Unemployment rate","Annual","2012","5.083","Units"
"Germany","Unemployment rate","Annual","2013","4.95","Units"
"Germany","Unemployment rate","Annual","2014","4.708","Units"
"Germany","Unemployment rate","Annual","2015","4.367","Units"
"Germany","Unemployment rate","Annual","2016","3.908","Units"
"Germany","Unemployment rate","Annual","2017","3.567","Units"
"Germany","Unemployment rate","Annual","2018","3.208","Units"
"Germany","Unemployment rate","Annual","2019","2.975","Units"
"Germany","Unemployment rate","Annual","2020","3.625","Units"
"Germany","Unemployment rate","Annual","2021","3.575","Units"
"Germany","Unemployment rate","Annual","2022","3.067","Units"
"Germany","Unemployment rate","Annual","2023","3.025","Units"
"Germany","Unemployment rate","Annual","2024","3.408","Units"
"Germany","Unemployment rate","Annual","2025","3.468","Units"
"Greece","Unemployment rate","Annual","1980","2.663","Units"
"Greece","Unemployment rate","Annual","1981","4","Units"
"Greece","Unemployment rate","Annual","1982","5.8","Units"
"Greece","Unemployment rate","Annual","1983","7.9","Units"
"Greece","Unemployment rate","Annual","1984","8.1","Units"
"Greece","Unemployment rate","Annual","1985","7.8","Units"
"Greece","Unemployment rate","Annual","1986","7.4","Units"
"Greece","Unemployment rate","Annual","1987","7.4","Units"
"Greece","Unemployment rate","Annual","1988","7.7","Units"
"Greece","Unemployment rate","Annual","1989","7.5","Units"
"Greece","Unemployment rate","Annual","1990","7","Units"
"Greece","Unemployment rate","Annual","1991","7.7","Units"
"Greece","Unemployment rate","Annual","1992","8.7","Units"
"Greece","Unemployment rate","Annual","1993","9.7","Units"
"Greece","Unemployment rate","Annual","1994","9.6","Units"
"Greece","Unemployment rate","Annual","1995","10","Units"
"Greece","Unemployment rate","Annual","1996","10.3","Units"
"Greece","Unemployment rate","Annual","1997","10.3","Units"
"Greece","Unemployment rate","Annual","1998","11.2","Units"
"Greece","Unemployment rate","Annual","1999","12.125","Units"
"Greece","Unemployment rate","Annual","2000","11.35","Units"
"Greece","Unemployment rate","Annual","2001","10.775","Units"
"Greece","Unemployment rate","Annual","2002","10.35","Units"
"Greece","Unemployment rate","Annual","2003","9.775","Units"
"Greece","Unemployment rate","Annual","2004","10.6","Units"
"Greece","Unemployment rate","Annual","2005","10","Units"
"Greece","Unemployment rate","Annual","2006","9","Units"
"Greece","Unemployment rate","Annual","2007","8.4","Units"
"Greece","Unemployment rate","Annual","2008","7.75","Units"
"Greece","Unemployment rate","Annual","2009","9.6","Units"
"Greece","Unemployment rate","Annual","2010","12.725","Units"
"Greece","Unemployment rate","Annual","2011","17.85","Units"
"Greece","Unemployment rate","Annual","2012","24.425","Units"
"Greece","Unemployment rate","Annual","2013","27.475","Units"
"Greece","Unemployment rate","Annual","2014","26.5","Units"
"Greece","Unemployment rate","Annual","2015","24.9","Units"
"Greece","Unemployment rate","Annual","2016","23.55","Units"
"Greece","Unemployment rate","Annual","2017","21.45","Units"
"Greece","Unemployment rate","Annual","2018","19.3","Units"
"Greece","Unemployment rate","Annual","2019","17.325","Units"
"Greece","Unemployment rate","Annual","2020","16.325","Units"
"Greece","Unemployment rate","Annual","2021","14.775","Units"
"Greece","Unemployment rate","Annual","2022","12.425","Units"
"Greece","Unemployment rate","Annual","2023","11.075","Units"
"Greece","Unemployment rate","Annual","2024","10.1","Units"
"Greece","Unemployment rate","Annual","2025","9.404","Units"
"Italy","Unemployment rate","Annual","1980","7.37","Units"
"Italy","Unemployment rate","Annual","1981","7.649","Units"
"Italy","Unemployment rate","Annual","1982","8.288","Units"
"Italy","Unemployment rate","Annual","1983","7.367","Units"
"Italy","Unemployment rate","Annual","1984","7.833","Units"
"Italy","Unemployment rate","Annual","1985","8.167","Units"
"Italy","Unemployment rate","Annual","1986","8.867","Units"
"Italy","Unemployment rate","Annual","1987","9.617","Units"
"Italy","Unemployment rate","Annual","1988","9.683","Units"
"Italy","Unemployment rate","Annual","1989","9.667","Units"
"Italy","Unemployment rate","Annual","1990","8.858","Units"
"Italy","Unemployment rate","Annual","1991","8.533","Units"
"Italy","Unemployment rate","Annual","1992","8.808","Units"
"Italy","Unemployment rate","Annual","1993","9.833","Units"
"Italy","Unemployment rate","Annual","1994","10.633","Units"
"Italy","Unemployment rate","Annual","1995","11.15","Units"
"Italy","Unemployment rate","Annual","1996","11.15","Units"
"Italy","Unemployment rate","Annual","1997","11.242","Units"
"Italy","Unemployment rate","Annual","1998","11.333","Units"
"Italy","Unemployment rate","Annual","1999","10.942","Units"
"Italy","Unemployment rate","Annual","2000","10.1","Units"
"Italy","Unemployment rate","Annual","2001","9.1","Units"
"Italy","Unemployment rate","Annual","2002","8.608","Units"
"Italy","Unemployment rate","Annual","2003","8.45","Units"
"Italy","Unemployment rate","Annual","2004","8.017","Units"
"Italy","Unemployment rate","Annual","2005","7.758","Units"
"Italy","Unemployment rate","Annual","2006","6.867","Units"
"Italy","Unemployment rate","Annual","2007","6.2","Units"
"Italy","Unemployment rate","Annual","2008","6.792","Units"
"Italy","Unemployment rate","Annual","2009","7.875","Units"
"Italy","Unemployment rate","Annual","2010","8.508","Units"
"Italy","Unemployment rate","Annual","2011","8.575","Units"
"Italy","Unemployment rate","Annual","2012","10.892","Units"
"Italy","Unemployment rate","Annual","2013","12.367","Units"
"Italy","Unemployment rate","Annual","2014","12.783","Units"
"Italy","Unemployment rate","Annual","2015","12.017","Units"
"Italy","Unemployment rate","Annual","2016","11.717","Units"
"Italy","Unemployment rate","Annual","2017","11.3","Units"
"Italy","Unemployment rate","Annual","2018","10.6","Units"
"Italy","Unemployment rate","Annual","2019","9.908","Units"
"Italy","Unemployment rate","Annual","2020","9.358","Units"
"Italy","Unemployment rate","Annual","2021","9.508","Units"
"Italy","Unemployment rate","Annual","2022","8.125","Units"
"Italy","Unemployment rate","Annual","2023","7.683","Units"
"Italy","Unemployment rate","Annual","2024","6.558","Units"
"Italy","Unemployment rate","Annual","2025","6.654","Units"
"Japan","Unemployment rate","Annual","1980","2.017","Units"
"Japan","Unemployment rate","Annual","1981","2.208","Units"
"Japan","Unemployment rate","Annual","1982","2.35","Units"
"Japan","Unemployment rate","Annual","1983","2.658","Units"
"Japan","Unemployment rate","Annual","1984","2.708","Units"
"Japan","Unemployment rate","Annual","1985","2.625","Units"
"Japan","Unemployment rate","Annual","1986","2.767","Units"
"Japan","Unemployment rate","Annual","1987","2.85","Units"
"Japan","Unemployment rate","Annual","1988","2.517","Units"
"Japan","Unemployment rate","Annual","1989","2.25","Units"
"Japan","Unemployment rate","Annual","1990","2.1","Units"
"Japan","Unemployment rate","Annual","1991","2.092","Units"
"Japan","Unemployment rate","Annual","1992","2.15","Units"
"Japan","Unemployment rate","Annual","1993","2.5","Units"
"Japan","Unemployment rate","Annual","1994","2.892","Units"
"Japan","Unemployment rate","Annual","1995","3.15","Units"
"Japan","Unemployment rate","Annual","1996","3.367","Units"
"Japan","Unemployment rate","Annual","1997","3.4","Units"
"Japan","Unemployment rate","Annual","1998","4.1","Units"
"Japan","Unemployment rate","Annual","1999","4.667","Units"
"Japan","Unemployment rate","Annual","2000","4.733","Units"
"Japan","Unemployment rate","Annual","2001","5.042","Units"
"Japan","Unemployment rate","Annual","2002","5.358","Units"
"Japan","Unemployment rate","Annual","2003","5.242","Units"
"Japan","Unemployment rate","Annual","2004","4.733","Units"
"Japan","Unemployment rate","Annual","2005","4.425","Units"
"Japan","Unemployment rate","Annual","2006","4.117","Units"
"Japan","Unemployment rate","Annual","2007","3.833","Units"
"Japan","Unemployment rate","Annual","2008","3.983","Units"
"Japan","Unemployment rate","Annual","2009","5.075","Units"
"Japan","Unemployment rate","Annual","2010","5.058","Units"
"Japan","Unemployment rate","Annual","2011","4.583","Units"
"Japan","Unemployment rate","Annual","2012","4.325","Units"
"Japan","Unemployment rate","Annual","2013","4.008","Units"
"Japan","Unemployment rate","Annual","2014","3.583","Units"
"Japan","Unemployment rate","Annual","2015","3.375","Units"
"Japan","Unemployment rate","Annual","2016","3.108","Units"
"Japan","Unemployment rate","Annual","2017","2.817","Units"
"Japan","Unemployment rate","Annual","2018","2.433","Units"
"Japan","Unemployment rate","Annual","2019","2.358","Units"
"Japan","Unemployment rate","Annual","2020","2.8","Units"
"Japan","Unemployment rate","Annual","2021","2.817","Units"
"Japan","Unemployment rate","Annual","2022","2.592","Units"
"Japan","Unemployment rate","Annual","2023","2.575","Units"
"Japan","Unemployment rate","Annual","2024","2.567","Units"
"Japan","Unemployment rate","Annual","2025","2.567","Units"
"Korea, Republic of","Unemployment rate","Annual","1980","5.2","Units"
"Korea, Republic of","Unemployment rate","Annual","1981","4.5","Units"
"Korea, Republic of","Unemployment rate","Annual","1982","4.13","Units"
"Korea, Republic of","Unemployment rate","Annual","1983","4.117","Units"
"Korea, Republic of","Unemployment rate","Annual","1984","3.85","Units"
"Korea, Republic of","Unemployment rate","Annual","1985","4.025","Units"
"Korea, Republic of","Unemployment rate","Annual","1986","3.842","Units"
"Korea, Republic of","Unemployment rate","Annual","1987","3.108","Units"
