DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1994-01-31,F:Free,,A:Normal value,93.2
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1994-02-28,F:Free,,A:Normal value,93.46
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1994-03-31,F:Free,,A:Normal value,93.83
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1994-04-30,F:Free,,A:Normal value,93.23
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1994-05-31,F:Free,,A:Normal value,92.58
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1994-06-30,F:Free,,A:Normal value,94.0
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1994-07-31,F:Free,,A:Normal value,95.17
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1994-08-31,F:Free,,A:Normal value,95.62
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1994-09-30,F:Free,,A:Normal value,96.46
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1994-10-31,F:Free,,A:Normal value,96.87
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1994-11-30,F:Free,,A:Normal value,95.14
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1994-12-31,F:Free,,A:Normal value,94.05
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1995-01-31,F:Free,,A:Normal value,96.15
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1995-02-28,F:Free,,A:Normal value,96.92
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1995-03-31,F:Free,,A:Normal value,101.4
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1995-04-30,F:Free,,A:Normal value,102.27
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1995-05-31,F:Free,,A:Normal value,100.19
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1995-06-30,F:Free,,A:Normal value,100.35
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1995-07-31,F:Free,,A:Normal value,99.95
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1995-08-31,F:Free,,A:Normal value,99.2
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1995-09-30,F:Free,,A:Normal value,100.58
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1995-10-31,F:Free,,A:Normal value,102.42
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1995-11-30,F:Free,,A:Normal value,102.57
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1995-12-31,F:Free,,A:Normal value,101.68
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1996-01-31,F:Free,,A:Normal value,101.26
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1996-02-29,F:Free,,A:Normal value,99.85
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1996-03-31,F:Free,,A:Normal value,99.91
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1996-04-30,F:Free,,A:Normal value,98.61
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1996-05-31,F:Free,,A:Normal value,96.12
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1996-06-30,F:Free,,A:Normal value,95.84
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1996-07-31,F:Free,,A:Normal value,96.77
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1996-08-31,F:Free,,A:Normal value,98.76
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1996-09-30,F:Free,,A:Normal value,96.87
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1996-10-31,F:Free,,A:Normal value,95.31
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1996-11-30,F:Free,,A:Normal value,92.74
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1996-12-31,F:Free,,A:Normal value,90.23
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1997-01-31,F:Free,,A:Normal value,87.85
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1997-02-28,F:Free,,A:Normal value,86.52
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1997-03-31,F:Free,,A:Normal value,86.47
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1997-04-30,F:Free,,A:Normal value,86.82
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1997-05-31,F:Free,,A:Normal value,87.83
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1997-06-30,F:Free,,A:Normal value,87.46
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1997-07-31,F:Free,,A:Normal value,86.68
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1997-08-31,F:Free,,A:Normal value,86.94
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1997-09-30,F:Free,,A:Normal value,88.04
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1997-10-31,F:Free,,A:Normal value,88.29
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1997-11-30,F:Free,,A:Normal value,90.33
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1997-12-31,F:Free,,A:Normal value,90.7
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1998-01-31,F:Free,,A:Normal value,90.27
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1998-02-28,F:Free,,A:Normal value,90.31
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1998-03-31,F:Free,,A:Normal value,88.63
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1998-04-30,F:Free,,A:Normal value,87.06
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1998-05-31,F:Free,,A:Normal value,87.82
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1998-06-30,F:Free,,A:Normal value,87.82
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1998-07-31,F:Free,,A:Normal value,86.82
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1998-08-31,F:Free,,A:Normal value,88.34
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1998-09-30,F:Free,,A:Normal value,91.23
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1998-10-31,F:Free,,A:Normal value,92.81
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1998-11-30,F:Free,,A:Normal value,90.74
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1998-12-31,F:Free,,A:Normal value,91.88
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1999-01-31,F:Free,,A:Normal value,91.13
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1999-02-28,F:Free,,A:Normal value,90.85
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1999-03-31,F:Free,,A:Normal value,90.08
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1999-04-30,F:Free,,A:Normal value,88.87
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1999-05-31,F:Free,,A:Normal value,88.26
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1999-06-30,F:Free,,A:Normal value,87.88
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1999-07-31,F:Free,,A:Normal value,87.27
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1999-08-31,F:Free,,A:Normal value,88.33
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1999-09-30,F:Free,,A:Normal value,87.59
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1999-10-31,F:Free,,A:Normal value,88.39
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1999-11-30,F:Free,,A:Normal value,86.43
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,1999-12-31,F:Free,,A:Normal value,85.83
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,2000-01-31,F:Free,,A:Normal value,85.4
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,2000-02-29,F:Free,,A:Normal value,84.91
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,2000-03-31,F:Free,,A:Normal value,84.02
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,2000-04-30,F:Free,,A:Normal value,84.96
"BIS,WS_EER,1.0",M.R.B.CH,M:Monthly,R:Real,B:Broad (64 economies),CH:Switzerland,"Index, 2020 = 100",,2000-05-31,F:Free,,A:Normal value,84.86
