DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1996-10-31,F:Free,,A:Normal value,102.84
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1996-11-30,F:Free,,A:Normal value,103.02
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1996-12-31,F:Free,,A:Normal value,102.3
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1997-01-31,F:Free,,A:Normal value,101.02
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1997-02-28,F:Free,,A:Normal value,100.54
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1997-03-31,F:Free,,A:Normal value,100.44
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1997-04-30,F:Free,,A:Normal value,99.96
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1997-05-31,F:Free,,A:Normal value,99.9
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1997-06-30,F:Free,,A:Normal value,99.39
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1997-07-31,F:Free,,A:Normal value,98.0
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1997-08-31,F:Free,,A:Normal value,97.67
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1997-09-30,F:Free,,A:Normal value,98.21
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1997-10-31,F:Free,,A:Normal value,99.05
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1997-11-30,F:Free,,A:Normal value,99.2
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1997-12-31,F:Free,,A:Normal value,99.45
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1998-01-31,F:Free,,A:Normal value,99.43
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1998-02-28,F:Free,,A:Normal value,98.93
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1998-03-31,F:Free,,A:Normal value,98.71
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1998-04-30,F:Free,,A:Normal value,99.0
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1998-05-31,F:Free,,A:Normal value,99.5
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1998-06-30,F:Free,,A:Normal value,99.46
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1998-07-31,F:Free,,A:Normal value,99.11
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1998-08-31,F:Free,,A:Normal value,99.63
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1998-09-30,F:Free,,A:Normal value,100.66
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1998-10-31,F:Free,,A:Normal value,101.3
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1998-11-30,F:Free,,A:Normal value,100.67
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1998-12-31,F:Free,,A:Normal value,100.79
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1999-01-31,F:Free,,A:Normal value,100.69
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1999-02-28,F:Free,,A:Normal value,100.09
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1999-03-31,F:Free,,A:Normal value,99.59
